size_key,width_mm,aspect_ratio,rim_diameter_in,approved_rim_width_in,rim_contour,series,source_page
295_30_R18,295,30,18,10.5,J,30,P.41
295_30_R18,295,30,18,11,J,30,P.41
295_30_R19,295,30,19,10,J,30,P.41
295_30_R19,295,30,19,10.5,J,30,P.41
295_30_R19,295,30,19,11,J,30,P.41
295_30_R20,295,30,20,10,J,30,P.41
295_30_R20,295,30,20,10.5,J,30,P.41
295_30_R20,295,30,20,11,J,30,P.41
295_30_R21,295,30,21,10,J,30,P.41
295_30_R21,295,30,21,10.5,J,30,P.41
295_30_R21,295,30,21,11,J,30,P.41
295_30_R22,295,30,22,10,J,30,P.41
295_30_R22,295,30,22,10.5,J,30,P.41
295_30_R22,295,30,22,11,J,30,P.41
295_30_R23,295,30,23,10,J,30,P.41
295_30_R23,295,30,23,10.5,J,30,P.41
295_30_R23,295,30,23,11,J,30,P.41
295_30_R24,295,30,24,10,J,30,P.41
295_30_R24,295,30,24,10.5,J,30,P.41
295_30_R24,295,30,24,11,J,30,P.41
295_30_R26,295,30,26,10,J,30,P.41
295_30_R26,295,30,26,10.5,J,30,P.41
295_30_R26,295,30,26,11,J,30,P.41
305_30_R19,305,30,19,10.5,J,30,P.41
305_30_R19,305,30,19,11,J,30,P.41
305_30_R19,305,30,19,11.5,J,30,P.41
305_30_R20,305,30,20,10.5,J,30,P.41
305_30_R20,305,30,20,11,J,30,P.41
305_30_R20,305,30,20,11.5,J,30,P.41
305_30_R21,305,30,21,10.5,J,30,P.41
305_30_R21,305,30,21,11,J,30,P.41
305_30_R21,305,30,21,11.5,J,30,P.41
305_30_R22,305,30,22,10.5,J,30,P.41
305_30_R22,305,30,22,11,J,30,P.41
305_30_R22,305,30,22,11.5,J,30,P.41
305_30_R23,305,30,23,10.5,J,30,P.41
305_30_R23,305,30,23,11,J,30,P.41
305_30_R23,305,30,23,11.5,J,30,P.41
305_30_R26,305,30,26,10.5,J,30,P.41
305_30_R26,305,30,26,11,J,30,P.41
305_30_R26,305,30,26,11.5,J,30,P.41
315_30_R18,315,30,18,10.5,J,30,P.41
315_30_R18,315,30,18,11,J,30,P.41
315_30_R18,315,30,18,11.5,J,30,P.41
315_30_R19,315,30,19,10.5,J,30,P.41
315_30_R19,315,30,19,11,J,30,P.41
315_30_R19,315,30,19,11.5,J,30,P.41
315_30_R20,315,30,20,10.5,J,30,P.41
315_30_R20,315,30,20,11,J,30,P.41
315_30_R20,315,30,20,11.5,J,30,P.41
315_30_R21,315,30,21,10.5,J,30,P.41
315_30_R21,315,30,21,11,J,30,P.41
315_30_R21,315,30,21,11.5,J,30,P.41
315_30_R22,315,30,22,10.5,J,30,P.41
315_30_R22,315,30,22,11,J,30,P.41
315_30_R22,315,30,22,11.5,J,30,P.41
315_30_R23,315,30,23,10.5,J,30,P.41
315_30_R23,315,30,23,11,J,30,P.41
315_30_R23,315,30,23,11.5,J,30,P.41
315_30_R24,315,30,24,10.5,J,30,P.41
315_30_R24,315,30,24,11,J,30,P.41
315_30_R24,315,30,24,11.5,J,30,P.41
315_30_R30,315,30,30,10.5,J,30,P.41
315_30_R30,315,30,30,11,J,30,P.41
315_30_R30,315,30,30,11.5,J,30,P.41
325_30_R18,325,30,18,11,J,30,P.41
325_30_R18,325,30,18,11.5,J,30,P.41
325_30_R18,325,30,18,12,J,30,P.41
325_30_R19,325,30,19,11,J,30,P.41
325_30_R19,325,30,19,11.5,J,30,P.41
